id	name	link	seller	price	original_price	lectures	hours	level	Sat Jan 23 18:56:08 2021
117	tableau_prep/	https://www.udemy.com/course/tableau_prep/	Jamie Fry	13.99	19.99	21	3	Beginner	
118	the-complete-introduction-to-data-analytics-with-tableau/	https://www.udemy.com/course/the-complete-introduction-to-data-analytics-with-tableau/	Dee Naidoo	12.99	24.99	41	6.5	Beginner	
119	qlik-sense/	https://www.udemy.com/course/qlik-sense/	JP Labuschagne  SuperDataScience Team	14.99	109.99	46	5.5	All Levels	
120	tableau-data-analytics-must-see-introduction-to-analytics/	https://www.udemy.com/course/tableau-data-analytics-must-see-introduction-to-analytics/	Dhruv Bais	12.99	19.99	6	1	Beginner	
121	optimization-with-metaheuristics/	https://www.udemy.com/course/optimization-with-metaheuristics/	Curiosity for Data Science	16.99	119.99	83	10	All Levels	
122	essential-excel-for-business-analysts-and-consultants/	https://www.udemy.com/course/essential-excel-for-business-analysts-and-consultants/	Asen Gyczew	15.99	89.99	98	5	Intermediate	
123	amazon-web-services-machine-learning/	https://www.udemy.com/course/amazon-web-services-machine-learning/	Dr  Ryan Ahmed  Ph D   MBA  SuperDataScience Team  Mitchell Bouchard	12.99	94.99	172	17	Expert	
124	predictive-regression-modelling-in-microsoft-excel/	https://www.udemy.com/course/predictive-regression-modelling-in-microsoft-excel/	Start Tech Academy	13.99	19.99	28	2.5	All Levels	
125	practical-sql-bootcamp-for-analysts/	https://www.udemy.com/course/practical-sql-bootcamp-for-analysts/	Ava Cas  PhD	14.99	109.99	194	3.5	Beginner	
126	spatialsql/	https://www.udemy.com/course/spatialsql/	Arthur Lembo	14.99	44.99	19	4	All Levels	
127	analyzing-and-visualizing-data-with-excel/	https://www.udemy.com/course/analyzing-and-visualizing-data-with-excel/	Ben Young  SuperDataScience Team	14.99	109.99	29	4	Beginner	
128	forecasting-and-time-series-analysis-in-tableau/	https://www.udemy.com/course/forecasting-and-time-series-analysis-in-tableau/	R Tutorials Training	15.99	94.99	27	4	Intermediate	
129	advanced-tableau-level-of-detail-expressions-tableau-lod/	https://www.udemy.com/course/advanced-tableau-level-of-detail-expressions-tableau-lod/	R Tutorials Training	15.99	109.99	45	6	Intermediate	
130	tableau-92-93-new-features/	https://www.udemy.com/course/tableau-92-93-new-features/	ExcelR Solutions	14.99	109.99	241	46.5	All Levels	
131	descriptive-statistics-spss/	https://www.udemy.com/course/descriptive-statistics-spss/	Quantitative Specialists	14.99	74.99	47	3.5	Beginner	
132	the-data-analyst-course-complete-data-analyst-bootcamp/	https://www.udemy.com/course/the-data-analyst-course-complete-data-analyst-bootcamp/	365 Careers	14.99	109.99	269	20.5	All Levels	
133	introduction-to-microstrategy-report-development/	https://www.udemy.com/course/introduction-to-microstrategy-report-development/	Adastra Academy	14.99	49.99	63	10	Beginner	
134	spss-data-analysis-spss-online-video-training-course/	https://www.udemy.com/course/spss-data-analysis-spss-online-video-training-course/	SPSS Statisticians MyProjects	14.99	24.99	48	7	Beginner	
135	machine-learning-advanced-decision-trees-in-python/	https://www.udemy.com/course/machine-learning-advanced-decision-trees-in-python/	Start Tech Academy	16.99	29.99	61	7	All Levels	
136	tableau-for-data-science-and-business-analytics/	https://www.udemy.com/course/tableau-for-data-science-and-business-analytics/	Farzan Sajahan	14.99	109.99	96	7.5	Beginner	
137	workforce-analytics-for-hr/	https://www.udemy.com/course/workforce-analytics-for-hr/	Jeff Higgins	19.99	139.99	31	3	Beginner	
138	data-science-for-business-6-real-world-case-studies/	https://www.udemy.com/course/data-science-for-business-6-real-world-case-studies/	Dr  Ryan Ahmed  Ph D   MBA  SuperDataScience Team  Mitchell Bouchard  Stemplicity Q A Support	14.99	109.99	74	11.5	Intermediate	
139	mastering-qlikview-set-analysis/	https://www.udemy.com/course/mastering-qlikview-set-analysis/	Vertechs  IO  Shilpan Patel  Deepak Vadithala  DV 	49.99	NULL	66	5.5	All Levels	
140	complete-ibm-cognos-analytics-cloud-training/	https://www.udemy.com/course/complete-ibm-cognos-analytics-cloud-training/	Mohammad Reza Habibi  Ph D 	12.99	94.99	29	4	Beginner	
141	up-running-with-tableau-desktop/	https://www.udemy.com/course/up-running-with-tableau-desktop/	Maven Analytics  Dustin Cabral   Tableau   Data Visualization Expert	16.99	124.99	91	10.5	All Levels	
142	qlikview-for-beginners-by-techstuffy/	https://www.udemy.com/course/qlikview-for-beginners-by-techstuffy/	Mark O Donovan	12.99	49.99	50	4.5	Beginner	
143	tableau-interview/	https://www.udemy.com/course/tableau-interview/	Kirill Eremenko  SuperDataScience Team	12.99	94.99	36	2.5	All Levels	
144	business-data-analytics-from-the-ground-up/	https://www.udemy.com/course/business-data-analytics-from-the-ground-up/	Sean J  Thompson	12.99	94.99	29	5	All Levels	
145	complete-data-wrangling-data-visualisation-with-python/	https://www.udemy.com/course/complete-data-wrangling-data-visualisation-with-python/	Minerva Singh	16.99	119.99	52	6	All Levels	
146	hands-on-hadoop-masterclass-tame-the-big-data/	https://www.udemy.com/course/hands-on-hadoop-masterclass-tame-the-big-data/	EDU CBA	12.99	94.99	525	67.5	All Levels	
147	amazon-ppc-sponsored-products-course/	https://www.udemy.com/course/amazon-ppc-sponsored-products-course/	Paul S 	12.99	94.99	16	1	All Levels	
148	machine-learning-101-with-scikit-learn-and-stats-models/	https://www.udemy.com/course/machine-learning-101-with-scikit-learn-and-stats-models/	365 Careers	18.99	129.99	102	5.5	All Levels	
149	ontologies-for-business-analysis/	https://www.udemy.com/course/ontologies-for-business-analysis/	Tish Chungoora	14.99	99.99	33	2.5	All Levels	
